AssetID;PriceTime;AssetPrice;Currency
CH0038863350;2024-02-20 20:06:06.000;104.5;EUR
DK0062498333;2024-02-20 20:06:06.000;112.34;EUR
US7427181091;2024-02-20 20:06:06.000;147.18;EUR
DE0007165607;2024-02-20 20:06:06.000;260.0;EUR
GB00B03MLX29;2024-02-20 20:06:06.000;29.39;EUR
JP3358000002;2024-02-20 20:06:06.000;124.3;EUR
LU1737653631;2024-02-20 20:13:32.000;45.837;EUR
Gold;2024-02-20 20:13:32.000;2026.895;EUR
BTC;2024-02-20 20:13:32.000;47619.69;EUR
USD;2024-02-20 20:13:32.000;1.0809;EUR
FR0010315770;2024-02-20 20:13:32.000;299.95;EUR
IE00BKM4GZ66;2024-02-20 20:13:32.000;29.314;EUR
DE0008474503;2024-02-20 20:13:32.000;122.93;EUR
CA0679011084;2024-02-20 20:13:32.000;13.623;EUR
US0846707026;2024-02-20 20:13:32.000;377.14;EUR
US1912161007;2024-02-20 20:13:32.000;56.17;EUR
US5949181045;2024-02-20 20:13:32.000;370.56;EUR
CH0038863350;2024-02-20 20:13:32.000;104.52;EUR
DK0062498333;2024-02-20 20:13:32.000;112.42;EUR
US7427181091;2024-02-20 20:13:32.000;147.17;EUR
DE0007165607;2024-02-20 20:13:32.000;260.0;EUR
GB00B03MLX29;2024-02-20 20:13:32.000;29.39;EUR
JP3358000002;2024-02-20 20:13:32.000;124.3;EUR
LU1737653631;2024-02-21 18:42:52.000;45.891;EUR
Gold;2024-02-21 18:42:52.000;2022.37;EUR
BTC;2024-02-21 18:42:52.000;47160.69;EUR
USD;2024-02-21 18:42:52.000;1.0808;EUR
FR0010315770;2024-02-21 18:42:52.000;300.04;EUR
IE00BKM4GZ66;2024-02-21 18:42:52.000;29.508;EUR
DE0008474503;2024-02-21 18:42:52.000;122.54;EUR
CA0679011084;2024-02-21 18:42:52.000;13.42;EUR
US0846707026;2024-02-21 18:42:52.000;377.36;EUR
US1912161007;2024-02-21 18:42:52.000;56.596;EUR
US5949181045;2024-02-21 18:42:52.000;369.56;EUR
CH0038863350;2024-02-21 18:42:52.000;104.15;EUR
DK0062498333;2024-02-21 18:42:52.000;111.7;EUR
US7427181091;2024-02-21 18:42:52.000;147.63;EUR
DE0007165607;2024-02-21 18:42:52.000;260.5;EUR
GB00B03MLX29;2024-02-21 18:42:52.000;29.62;EUR
JP3358000002;2024-02-21 18:42:52.000;127.4;EUR
LU1737653631;2024-02-21 18:45:06.000;45.891;EUR
Gold;2024-02-21 18:45:06.000;2022.855;EUR
BTC;2024-02-21 18:45:06.000;47145.43;EUR
USD;2024-02-21 18:45:06.000;1.0808;EUR
FR0010315770;2024-02-21 18:45:06.000;300.04;EUR
IE00BKM4GZ66;2024-02-21 18:45:06.000;29.508;EUR
